江苏省南京市江宁区横溪街道江宁开发区掏吴掏茂小区(陶茂花园)2栋-	石坝路与陶禄路交叉口西南100米陶茂小区2幢	1
南京市玄武区珠江路523号东方大厦五层D座南京科硕电子有限公司	no_name	1
江苏省南京市江宁区秣陵街道天元中路126新城发展中心1栋-江宁开发区	天元中路126号新城发展中心1幢	1
桂林西街47弄93号	浦北路620号附近桂林西街47弄93号	1
地址:珠海市香洲区翠珠工业区翠珠二街7号嘉禾酒店	no_name	1
上海浦三路4399号8栋	no_name	1
九龙山乡邮政所	no_name	1
深圳盐田区沙头角海山路海荣居2栋1单元	no_name	1
no_name	no_name	1
窑岗村33号南京药业股份有限公司配送中心	no_name	1
no_name	no_name	1
no_name	no_name	1
no_name	no_name	1
站前西路延伸段钟山花园良山饭店	no_name	1
no_name	蚝涌村一巷与蚝涌村六巷交叉口西南150米鹤源电子	1
桥乡经济开发区陈方小区南区一排	no_name	1
no_name	no_name	1
no_name	葛关路552号南京江北人民医院	1
no_name	no_name	1
no_name	no_name	1
河北省邢台市南宫市凤凰世纪城2单	no_name	1
no_name	布吉新区吉大花园(天虹商场西南170米)吉大花园C栋	1
户县陕西省实验中中学	no_name	1
no_name	no_name	1
no_name	星沙大道板桥社区24栋205号鑫发电动车摩托车专业维修	1
no_name	新市区三友社区	1
no_name	no_name	1
no_name	no_name	1
江苏省南京市鼓楼区宁海路街道虎踞北路15号南京艺术学院(艺术学院)	no_name	1
no_name	no_name	1
no_name	no_name	1
no_name	永川区君临棠城2幢	1
no_name	no_name	1
尹山湖东路尹山湖韵佳苑公寓楼	no_name	1
广东省东莞市塘厦镇石鼓朝阳工业区。高朗厂	塘厦镇石鼓田厦大道86号F栋高朗	1
no_name	宝丹路8号共创盈工业园	1
no_name	no_name	1
no_name	no_name	1
河南安阳市园鼎苑B13号楼二单元	no_name	1
海珠南洲后窖村后窖大街52号维客佳后窖店	no_name	1
no_name	no_name	1
新疆乌鲁木齐区市头屯河南区火西站在街道金桥梁路新疆艺术学院(新校区)699号码艺	金桥路新疆艺术学院(新校区)(建设中)	1
no_name	no_name	1
山东省济宁市任城区金城街道交警三大队	常青路32号交警支队勤务三大队	1
no_name	亚东城西区01栋亚东城1幢	1
no_name	no_name	1
湖南师范大学学生公寓南院4栋	岳麓区湖南师范大学南院学生宿舍4栋	1
no_name	no_name	1
广州市广州检验认证	no_name	1
no_name	秦淮区天坛村小区16幢	1
江苏省南京市玄武区龙蟠路龙脖子路龙井轩茶社	明陵路1号中山陵园风景区龙景轩茶社	1
no_name	no_name	1
no_name	仙隐北路28号雪佛兰汽车销售有限公司	1
no_name	no_name	1
北京市通州区玉桥西路路政大队	玉桥西里72号院3号楼通州公路分局路政大队	1
河南省郑州市金水区未来路街道办事处未来路77号聂庄公寓二单元	no_name	1
小寨路街道含光路南段4号阳光嘉庭	二环南路西段与含光路环岛交叉口西南150米阳光嘉庭	1
no_name	高淳区秋滕树	1
木樨园南曦大厦d1202号49楼	南三环中路70号南曦大厦D座	1
no_name	园区大道横路附近浙江易顺工贸有限公司	1
no_name	石歧区南基路67号10卡儒子牛杂(安栏店)	1
no_name	鸠江区东紫园8幢	1
no_name	莞太路白马路段381号骏马山庄	1
no_name	花园路2号(华润苏果对面)仕高大厦	1
合肥市蜀山区金寨南路与紫云路交口，尚泽紫金公馆S1栋朗诗寓2407室	紫云路尚泽紫金公馆21楼朗诗寓(合肥大学城店)	1
no_name	云南北路49号(湖南路)天星翠琅大厦	1
no_name	南园街道滨河路与华强南路交汇处御景华城花园1层麦当劳(赤尾村店)	1
江苏省南京市六合区竹镇镇明礼路8号民族小区6幢1单元	no_name	1
818号赤峰维康生化制药有限公司	no_name	1
no_name	no_name	1
no_name	燕城大道与迎宾路交汇处时代·天悦营销中心	1
no_name	东元路与珠江线交叉口西南150米伟丽金属	1
no_name	钟管镇干山工业园区69号浙江远大钢构实业有限公司	1
no_name	no_name	1
no_name	no_name	1
no_name	通州区怡乐中街	1
汀湘村小岸桥	no_name	1
上海市友谊路15号1号楼东楼	no_name	1
no_name	no_name	1
大江东义蓬街道金蜂小区83号	no_name	1
no_name	龙岗区榕树下	1
no_name	大沙村第北北大街15号首层龙锐百货	1
双流三强北路二段锦绣华都14栋	no_name	1
姜山镇张村庙村朝张新村2幢5号	姜山镇张村庙村朝张新村	1
no_name	no_name	1
no_name	no_name	1
洪山路68号丽水澜庭5栋2单元14楼	no_name	1
no_name	no_name	1
no_name	no_name	1
no_name	no_name	1
江苏省南京市鼓楼区宝塔桥街道幕府西路1号方家营70号小区73号2楼	宝塔桥街道幕府西路方家营70号方家营73号楼	1
no_name	no_name	1
no_name	no_name	1
江苏省南京市秦淮区光华路街道石杨路101号银龙花园3期26栋-5门	no_name	1
东渡海派青城5幢	no_name	1
同二村2组5排61号	萧山区同二村	1
no_name	no_name	1
no_name	no_name	1
no_name	no_name	1
no_name	福荣路下沙村5坊27号楼下沙村五坊27号楼	1
