西郊工业园区四川乾源棉纺织有限公司	岳阳镇工业园区四川饮源食品有限公司	1
no_name	no_name	1
no_name	no_name	1
no_name	云南北路49号(湖南路)天星翠琅大厦	1
春城路177号交通银行宿舍	春城路177号交通银行宿舍(春城路)	1
no_name	no_name	1
冶金北路华安住宅楼一单元	中华大街与冶金北路交叉口西南150米华安住宅楼	1
东凤镇河尾街2号明阳托儿所东凤镇东海一路100号东御世家荣峰	no_name	1
深圳湾中心路颐安阅海A5A	中心路(深圳湾段)2248号东门颐安阅海颐安阅海A栋	1
大桥街舜和家园东区	no_name	1
no_name	no_name	1
no_name	如城镇益寿北路香江家具世界(益寿北路)	1
no_name	no_name	1
江苏省南京市江宁区谷里街道26号石坝村(石坝社区)	no_name	1
光谷大街与飞跃路交汇,青年创业园一楼	飞跃路2788号青年创业园	1
昌江黎族自治县石碌镇水头新村	no_name	1
no_name	古竹镇新泰眼镜厂桥头鸿海加工厂	1
西园一路18号浙大网新软件园A幢浙江成功软件开发有限公司	no_name	1
no_name	临浮公路与临浮路南二巷交叉口西北50米星星拉面	1
徐州市贾汪区老矿25路终点站北静雅饭店旁边领派记忆老灶火锅店。	泓福路15号领派记忆老火锅	1
no_name	no_name	1
no_name	no_name	1
no_name	大羊坊路38附近古隆盛办公写字楼	1
深圳市科技南路中兴通讯股份有限公司	no_name	1
no_name	no_name	1
no_name	许村镇许村工业区许村大道139-1号浙江嘉利和纺织科技有限公司	1
no_name	no_name	1
no_name	秦淮区孝顺里19号楼	1
no_name	no_name	1
no_name	温塘百草岭一路十二巷1号宏泰手袋厂(百草岭一路)	1
no_name	no_name	1
no_name	no_name	1
no_name	no_name	1
no_name	no_name	1
亚运村北苑路甲166号风格派	no_name	1
no_name	no_name	1
西一环宜水新城二期21单元	宜水新城2期(南门)	1
no_name	no_name	1
江苏省南京市江宁区泉东路1泉东路龙眠大道	江宁区泉东路与龙眠大道交叉口	1
经十路中光明街15号山东省机械施工有限公司	no_name	1
北京像素南区5号楼	no_name	1
no_name	滑县郝寨村	1
no_name	no_name	1
胶南市灵山湾路232号	no_name	1
中保村小塘一队005号南京市住宅建设总公司中保村经营部	延龄巷2-1东渡大厦6层南京市住宅建设总公司	1
no_name	no_name	1
no_name	合群路1龙泉大厦	1
no_name	no_name	1
同协路临丁路口	下城区丁城路与同协路交叉口	1
no_name	no_name	1
